행 ID,주문 ID,주문 날짜,배송 날짜,배송 형태,고객 ID,고객 이름,세그먼트,도시,시/도,국가/지역,지역,제품 ID,범주,하위 범주,제품 이름,매출,수량,할인율,수익
1,IN-2020-27828,2020-08-27,2020-08-31,표준 등급,VT-21700,Valerie Takahito,홈 오피스,Quanzhou,Fujian,China,북아시아,OFF-PA-10000026,사무용품,용지,"Eaton Cards & Envelopes, 8.5 x 11",197.28,4,0,35.4
2,IN-2020-27828,2020-08-27,2020-08-31,표준 등급,VT-21700,Valerie Takahito,홈 오피스,Quanzhou,Fujian,China,북아시아,FUR-FU-10000944,가구,사무용 집기,"Tenex Door Stop, Black",307.23,7,0,21.42
3,IN-2020-27828,2020-08-27,2020-08-31,표준 등급,VT-21700,Valerie Takahito,홈 오피스,Quanzhou,Fujian,China,북아시아,TEC-CO-10002526,기술,복사기,"Sharp Wireless Fax, Digital",1422.24,4,0,526.2
4,IN-2020-27828,2020-08-27,2020-08-31,표준 등급,VT-21700,Valerie Takahito,홈 오피스,Quanzhou,Fujian,China,북아시아,TEC-AC-10002255,기술,액세서리,"Memorex Keyboard, Erganomic",207.45,3,0,78.75
5,IN-2021-63178,2021-06-24,2021-06-30,표준 등급,SO-20335,Sean O'Donnell,일반 소비자,Marikina,Metro Manila,Philippines,동남아시아,OFF-AP-10002882,사무용품,가전 제품,"KitchenAid Coffee Grinder, Silver",121.074,2,0.15,37.014
6,IN-2018-29067,2018-05-31,2018-06-04,2등급,ST-20530,Shui Tom,일반 소비자,New Delhi,Delhi,India,중앙아시아,OFF-BI-10000168,사무용품,바인더,"Cardinal Hole Reinforcements, Recycled",11.4,2,0,2.82
7,IN-2019-15361,2019-08-16,2019-08-22,표준 등급,CS-12130,Chad Sievert,일반 소비자,Tokyo,Tokyo,Japan,북아시아,TEC-PH-10001354,기술,전화기,"Motorola Speaker Phone, Full Size",262.14,2,0,73.38
8,IN-2018-79397,2018-01-03,2018-01-03,당일,KN-16450,Kean Nguyen,기업,Sydney,New South Wales,Australia,오세아니아,OFF-LA-10003396,사무용품,레이블,"Avery Color Coded Labels, Laser Printer Compatible",35.883,3,0.1,4.743
9,IN-2018-79397,2018-01-03,2018-01-03,당일,KN-16450,Kean Nguyen,기업,Sydney,New South Wales,Australia,오세아니아,OFF-AP-10000304,사무용품,가전 제품,"Hoover Microwave, White",276.102,1,0.1,110.412
10,ID-2019-63535,2019-05-10,2019-05-16,표준 등급,ML-17410,Maris LaWare,일반 소비자,Hobart,Tasmania,Australia,오세아니아,TEC-PH-10003062,기술,전화기,"Apple Audio Dock, Full Size",504.54,5,0.4,-42.06
11,ID-2019-63535,2019-05-10,2019-05-16,표준 등급,ML-17410,Maris LaWare,일반 소비자,Hobart,Tasmania,Australia,오세아니아,OFF-AR-10001134,사무용품,미술용품,"Boston Pens, Easy-Erase",8.694,1,0.4,-4.356
12,ID-2018-65117,2018-07-12,2018-07-16,표준 등급,SW-20245,Scot Wooten,일반 소비자,Manila,Metro Manila,Philippines,동남아시아,OFF-SU-10004177,사무용품,사무용품,"Fiskars Box Cutter, Easy Grip",61.281,3,0.45,-25.659
